word,weight
venezolanos,476924
migrantes,311862
colombia,293216
veneco,290320
venecos,286634
migracion,220954
venezuela,157236
mas,144637
veneca,123786
venezolana,113848
pais,102540
hoy,83925
gobierno,63195
estan,59339
migrante,57746
ivanduque,54081
colombianos,53446
bogota,50874
ser,50794
frontera,48745
millones,48395
maduro,44707
atencion,44324
venezolano,43034
presidente,42478
solo,41115
ahora,38684
quiero,35801
venecas,35497
hace,34150
crisis,33843
duque,33182
asi,31883
personas,28031
madre,27846
poblacion,27614
colombiano,27085
cucuta,26762
situacion,26611
dice,26336
claudialopez,26118
denunciar,25393
guardias,25315
puede,25202
septiembre,25065
gente,24573
aqui,24094
revisadas,24043
desnudadas,24036
xenofobia,24011
nacional,23303
hacer,22705
bien,22516
tambien,22465
va,22444
dia,22396
dictadura,21149
menos,20629
ayuda,20364
tan,20256
internacional,19917
anos,19884
ver,19630
mil,19572
decir,19247
atender,18808
ciudadanos,18569
van,18431
parte,18001
mundo,17738
mierda,17654
proteccion,17123
policia,16916
cada,16558
colombiana,16457
segun,16317
mejor,16315
nunca,16301
paso,16257
debe,16125
aca,16123
dijo,15756
venezolanas,15569
gracias,15493
trabajo,15444
pa,15424
toda,15424
refugiados,15349
problema,15295
vez,15107
usted,15039
ano,15015
salud,14907
l,14907
ninos,14902
siempre,14851
petro,14839
dicen,14835
pueblo,14703
gran,14643
